Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1514030,U16 Durant Hall,Smart Max,Waste,Fullness,60%,1/19/2023 6:28,-
1515759,U09 MLK Ramp,Smart Max,Compostables,Fullness,60%,1/19/2023 6:28,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,60%,1/19/2023 6:30,-
1515818,U04 Zellerbach,Smart Max,Compostables,Fullness,60%,1/19/2023 6:32,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,80%,1/19/2023 6:32,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,60%,1/19/2023 6:34,-
1515751,U14 Sproul Hall Steps,Smart Max,Compostables,Fullness,60%,1/19/2023 6:36,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,60%,1/19/2023 6:40,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,1/19/2023 6:47,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,80%,1/19/2023 6:49,-
1515780,U09 MLK Ramp,Smart Max,Waste,Fullness,80%,1/19/2023 6:59,-
1515675,U27 Anthony Hall,Smart Max,Waste,Fullness,60%,1/19/2023 7:06,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,80%,1/19/2023 7:09,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Not Ready,20%,1/19/2023 7:18,-
1515716,E16 Campanile,Smart Max,Compostables,Fullness,60%,1/19/2023 7:21,-
1515712,E09- East Asian Library,Smart Max,Compostables,Fullness,60%,1/19/2023 7:24,-
1515715,E04 North Gate Entrance,Smart Max,Compostables,Fullness,80%,1/19/2023 7:31,-
1515686,E05 V&A Cafe/Etcheverry,Smart Max,Compostables,Fullness,60%,1/19/2023 7:32,-
1515746,E23 Glade Path,Smart Max,Waste,Fullness,60%,1/19/2023 7:33,-
1516531,W17 Mulford Hall,Smart Max,Bottles/Cans,Fullness,80%,1/19/2023 7:34,-
1516556,U28 Wheeler,Smart Max,Waste,Fullness,60%,1/19/2023 7:39,-
1515699,E01 California Hall,Smart Max,Waste,Fullness,60%,1/19/2023 7:40,-
1503614,W08 University Drive,Smart Max,Compostables,Fullness,60%,1/19/2023 7:43,-
1515765,E02 North Entrance Memorial Glade,Smart Max,Bottles/Cans,Fullness,80%,1/19/2023 7:46,-
1514013,W11 Moffitt Library @ Press,Smart Max,Bottles/Cans,Fullness,80%,1/19/2023 7:48,-
1515775,U18 Dwinelle Walkway,Smart Max,Bottles/Cans,Fullness,80%,1/19/2023 7:57,-
1515778,U15 Sather Gate,Smart Max,Bottles/Cans,Fullness,80%,1/19/2023 8:01,-
1515769,U12 Upper MLK Union,Smart Max,Bottles/Cans,Fullness,80%,1/19/2023 8:04,-
1515697,E13 Stanley Hall,Smart Max,Waste,Fullness,60%,1/19/2023 8:08,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Fullness,80%,1/19/2023 8:08,-
1516530,U33 Spieker Plaza,Smart Max,Bottles/Cans,Fullness,80%,1/19/2023 8:21,-
1515676,E08 Cory Hall,Smart Max,Waste,Fullness,60%,1/19/2023 8:22,-
1520907,Stadium Gate 4,Smart Max,Bottles/Cans,Not Ready,0%,1/19/2023 8:22,-
1520906,Stadium Gate 3,Smart Max,Bottles/Cans,Not Ready,0%,1/19/2023 8:22,-
1520916,E30 Soda Hall NW,Smart Max,Waste,Fullness,60%,1/19/2023 8:25,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,80%,1/19/2023 8:31,-
1515745,W12 VLSB/Campanile Way,Smart Max,Waste,Fullness,100%,1/19/2023 8:37,-
1514032,W05 Brown’s Cafe,Smart Max,Waste,Fullness,60%,1/19/2023 8:52,-
